***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________


 
Relatorio dos subsistemas 
 
  
OBS.:
1) A geracao de Itaipu injetada, no subsistema Sudeste (SE), inclui a geracao para atender a carga da ANDE.
2) Intercambio IV-SE não corresponde a recebimento do SE pois Itaipu(60hz) já se encontra no SE.
  
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
      ;        ;      ;    Cmo     ;   Demanda  ;   Perdas   ;   GpQusi   ;  GfixBar   ;  Grenova   ;  SomatGH   ;  SomatGT   ; ConsEleva  ;  Import.   ;  Export.   ; CortCarg.  ;   Saldo    ;Recebimento ; SomaGTMin  ; SomatGTMax ;   Earm     ;
 IPER ;  Pat   ; Sist ;   $/MWH    ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;    MWH     ;
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
  13  ;   LEVE ; S    ;       0.00 ;   12044.99 ;     -      ;       0.00 ;       0.00 ;    2722.73 ;    8336.40 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      85.15 ;     -85.15 ;    1071.00 ;    1486.57 ;   19529.70 ;
  13  ;   LEVE ; NE   ;       0.00 ;   11993.82 ;     -      ;       0.00 ;       0.00 ;    8437.50 ;    7035.38 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3479.06 ;   -3479.06 ;       0.00 ;    6460.04 ;   27453.29 ;
  13  ;   LEVE ; N    ;       0.00 ;    6632.22 ;     -      ;       0.00 ;       0.00 ;     571.60 ;    2062.12 ;    1134.16 ;       0.00 ;       0.00 ;     482.41 ;       0.00 ;   -3346.75 ;    3346.75 ;    1133.23 ;    3297.00 ;    6223.47 ;
  13  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  14  ;   LEVE ; SE   ;       0.00 ;   42146.54 ;     -      ;       0.00 ;       0.00 ;    7000.58 ;   34359.88 ;    1635.00 ;      42.47 ;    6209.33 ;    5717.11 ;       0.00 ;   -1121.83 ;    1121.83 ;    1635.00 ;    9510.76 ;  130687.94 ;
  14  ;   LEVE ; S    ;       0.00 ;   12675.07 ;     -      ;       0.00 ;       0.00 ;    3021.84 ;    8675.36 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      93.13 ;     -93.13 ;    1071.00 ;    1486.57 ;   19508.41 ;
  14  ;   LEVE ; NE   ;       0.00 ;   12265.02 ;     -      ;       0.00 ;       0.00 ;    9420.90 ;    7067.44 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4223.32 ;   -4223.32 ;       0.00 ;    6460.04 ;   27439.47 ;
  14  ;   LEVE ; N    ;       0.00 ;    6548.22 ;     -      ;       0.00 ;       0.00 ;     652.36 ;    2059.31 ;    1134.16 ;       0.00 ;       0.00 ;     492.22 ;       0.00 ;   -3194.61 ;    3194.61 ;    1133.23 ;    3297.00 ;    6214.90 ;
  14  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  15  ;   LEVE ; SE   ;       0.00 ;   43854.08 ;     -      ;       0.00 ;       0.00 ;    8508.98 ;   34841.41 ;    1635.00 ;      46.28 ;    6181.30 ;    5689.11 ;       0.00 ;    -843.27 ;     843.27 ;    1635.00 ;    9510.76 ;  130645.78 ;
